id	name	title	description	category
3	idr0001-graml-sysgro/screenA	A genomic Multiprocess survey of machineries that control and link cell shape, microtubule organization, and cell-cycle progression.	Primary screen of fission yeast knock out mutants looking for genes controlling cell shape, microtubules, and cell-cycle progression. 262 genes controlling specific aspects of those processes are identifed, validated, and functionally annotated.	Screen
102	idr0002-heriche-condensation/screenA	Integration of biological data by kernels on graph nodes allows prediction of new genes involved in mitotic chromosome condensation.	Screen of 100 candidate genes predicted to be involved in mitotic chromosome condensation. Knock down of 22 genes resulted in signficantly shorter prophases and knock down of 18 genes caused signficant delays in prophase.	Screen
51	idr0003-breker-plasticity/screenA	A novel single-cell screening platform reveals proteome plasticity during yeast stress responses.	Screen to characterize yeast stress responses at the protein level, focusing on two key properties: protein localization and abundance, at a single-cell resolution. It measures the levels of 5,330 yeast proteins and manually assign their localization using strains from a GFP fusion library.	Screen
202	idr0004-thorpe-rad52/screenA	Bringing Rad52 foci into focus.	This screen assesses the proportion of cells containing spontaneous Rad52-YFP foci in 4,805 viable Saccharomyces cerevisiae deletion strains.	Screen
597	idr0005-toret-adhesion/screenA	A genome-wide screen identifies conserved protein hubs required for cadherin-mediated cell-cell adhesion.	A genome-wide RNAi screen for loss of DE- cadherin-mediated, Ca2+-dependent cell-cell adhesion in DECAD-S2 cells . This initial screen yielded 1,201 RNAi's that produced defective cell-cell aggregation in DECAD-S2 cells.	Screen
751	idr0005-toret-adhesion/screenB	A genome-wide screen identifies conserved protein hubs required for cadherin-mediated cell-cell adhesion.	Re-screen of 803 hits from the first screen, using RNAis to regions of the genes that were different from those targeted by RNAi in the first screen.  Some hits from the primary screen where not investigated further due to their likely involvement in generic protein expression pathways, the genes were obsolete or because it was not possible to design nonoverlapping RNAis.	Screen
253	idr0006-fong-nuclearbodies/screenA	Whole-genome screening identifies proteins localized to distinct nuclear bodies.	A whole-genome screening for proteins localized to distinct nuclear bodies using 15,483 ORFs in the Human ORFeome Library.  A total of 325 proteins were identified in various nuclear bodies, which include 148 nucleolar proteins, 38 proteins in PML bodies, 27 proteins in nuclear speckles, 24 proteins in paraspeckles, 17 proteins in Cajal bodies, 5 proteins in Sam68 nuclear bodies, 2 proteins in Polycomb bodies, and 64 proteins in uncharacterized nuclear subcompartments. An additional 48 proteins were identified that are targeted to the nuclear envelope.	Screen
201	idr0007-srikumar-sumo/screenA	Global analysis of SUMO chain function reveals multiple roles in chromatin regulation.	In this screen two mutant yeast strains unable to synthesize SUMO chains (pro-smt3allR and smt3allR), were crossed with 384 yeast strains expressing GFP-tagged proteins (Huh et al., 2003) previously linked to the DNA damage response (Tkach et al., 2012).  144 GFP-tagged proteins displayed a change in localization and/or intensity when expressed in the smt3allR mutant grown in rich medium.	Screen
154	idr0008-rohn-actinome/screenA	Comparative RNAi screening identifies a conserved core metazoan actinome by phenotype.	A genome-wide, high-content RNAi screen in the hemocyte-derived adherent Drosophila cell line S2R+  whose read-out was a visual inspection of images of fixed cells stained with alpha-tubulin, F-actin, and DNA. After filtering and annotating hits with a controlled vocabulary, we identified a number of broad phenotypic categories.	Screen
206	idr0008-rohn-actinome/screenB	Comparative RNAi screening identifies a conserved core metazoan actinome by phenotype.	This screen consists of siRNAs targetting 516 known or predicted actin and Rho-GTPase family regulators (the 'actinome';) in human HeLa cells and in addition tests representative close human orthologues of the set of putative novel actin regulators identified in the fly screen.  This screen was performed in duplicate (screens B and C). Screen B is also known as Actinome 1 and screen C as Actinome 2. Only screen B is available at present.	Screen
