screen_id	plate_id	plate_name	image_id	cell_line	strain	gene_identifier	phenotype_identifier	channels	pixel_size_x	pixel_size_y	imaging_method
3	2551	JL_120731_S6A	1229801	Not listed	SPAC27E2.03c	SPAC27E2.03c	CMPO_0000438	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1230150	Not listed	gto2	SPAC30D11.01c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1229921	Not listed	SPAC343.04c	SPAC343.04c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1229843	Not listed	tip1	SPAC3C7.12	CMPO_0000371	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1230222	Not listed	SPAC3H1.05	SPAC3H1.05	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1230321	Not listed	Not listed	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1230466	Not listed	mal3	SPAC18G6.15	CMPO_0000371	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1230669	Not listed	mto1	SPCC417.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1229987	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1229867	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1229837	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2551	JL_120731_S6A	1230071	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230224	Not listed	mal3	SPAC18G6.15	CMPO_0000371	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230714	Not listed	mto1	SPCC417.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230831	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230516	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230560	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230736	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230507	Not listed	alg10	SPAC56F8.06c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230945	Not listed	acp2	SPAC631.01c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230771	Not listed	SPAC6B12.04c	SPAC6B12.04c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230446	Not listed	moc3	SPAC821.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230825	Not listed	ppk16	SPAC890.03	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2552	JL_120731_S6B	1230855	Not listed	dlc2	SPAC926.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231241	Not listed	SPAP32A8.03c	SPAP32A8.03c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231309	Not listed	afg1	SPBC115.02c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231297	Not listed	bzz1	SPBC12C2.05c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231538	Not listed	pho8	SPBC14F5.13c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231580	Not listed	scs2	SPBC16G5.05c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231443	Not listed	pas4	SPBC17A3.10	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231484	Not listed	mal3	SPAC18G6.15	CMPO_0000371	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231694	Not listed	mto1	SPCC417.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231279	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231291	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231803	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2554	JL_120801_S7A	1231688	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1230953	Not listed	mal3	SPAC18G6.15	CMPO_0000371	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231215	Not listed	mto1	SPCC417.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231194	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231029	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231173	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1230970	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231047	Not listed	Not listed	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1230967	Not listed	SPBC19G7.04	SPBC19G7.04	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231140	Not listed	ath1	SPBC21B10.03c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231044	Not listed	SPBC25B2.03	SPBC25B2.03	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1231038	Not listed	tri1	SPBC29A10.09c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2553	JL_120801_S7B	1230979	Not listed	rep2	SPBC2F12.11c	CMPO_0000116	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1231817	Not listed	tma20	SPBC31F10.12	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232209	Not listed	efc25	SPBC336.03	CMPO_0000366	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1231998	Not listed	fap1	SPBC354.15	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1231926	Not listed	SPBC428.15	SPBC428.15	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232318	Not listed	ppk29	SPBC557.04	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232143	Not listed	SPBC660.10	SPBC660.10	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232354	Not listed	mal3	SPAC18G6.15	CMPO_0000371	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1231920	Not listed	mto1	SPCC417.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232191	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232282	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232306	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2555	JL_120802_S8A	1232017	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232393	Not listed	mal3	SPAC18G6.15	CMPO_0000371	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232449	Not listed	mto1	SPCC417.07c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232564	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232605	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232780	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232798	Not listed	MS1404	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232467	Not listed	rpl4301	SPBC800.04c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232558	Not listed	Not listed	Not Listed	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232665	Not listed	abo2	SPBP22H7.05c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232641	Not listed	SPBPB2B2.05	SPBPB2B2.05	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232437	Not listed	pet127	SPCC1183.04c	Not Listed	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
3	2556	JL_120802_S8B	1232552	Not listed	twf1	SPCC126.06	CMPO_0000383	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	1376	1040	spinning disk confocal microscopy
